Game,Move No,Player,Move,chess.com Classification,Played Move Classification,Played Move Standing,Played Move Evaluation,Evaluation (Before Move),Win %,Legal Moves (At Move),Game Phase,Material Advantage,Line 1 Eval,Win % (Player),Win % (Player)_scaled,Move Quality (Delta)
1,1,White,e4,book,best,1,0.43,0.47,54.5,20,Opening,0,0.43,54.5,0.545,-0.04
1,1,Black,e5,book,best,1,0.36,0.45,53.5,20,Opening,0,0.36,46.5,0.465,-0.09
1,2,White,Nf3,book,best,1,0.35,0.35,53.2,29,Opening,0,0.35,53.2,0.532,0.0
1,2,Black,Nc6,book,best,1,0.43,0.32,53.3,29,Opening,0,0.43,46.7,0.467,0.11
1,3,White,d4,book,good,3,-0.02,0.33,52.1,27,Opening,0,0.39,52.1,0.521,-0.35
1,3,Black,exd4,book,best,1,0.25,0.21,52.2,32,Opening,0,0.25,47.8,0.478,0.04
1,4,White,Nxd4,book,best,1,0.19,0.22,51.3,37,Opening,-1,0.19,51.3,0.513,-0.03
1,4,Black,Nf6,book,best,1,0.16,0.13,51.8,32,Opening,0,0.16,48.2,0.48200000000000004,0.03
1,5,White,Nxc6,book,best,1,0.15,0.18,52.0,42,Opening,0,0.15,52.0,0.52,-0.03
1,5,Black,bxc6,book,best,1,0.23,0.2,50.9,25,Opening,3,0.23,49.1,0.491,0.03
1,6,White,e5,book,excellent,3,0.14,0.09,50.6,39,Opening,0,0.19,50.6,0.506,0.05
1,6,Black,Qe7,book,best,1,0.03,0.06,50.7,25,Opening,0,0.03,49.3,0.493,-0.03
1,7,White,Qe2,book,best,1,0.11,0.07,50.9,39,Opening,0,0.11,50.9,0.509,0.04
1,7,Black,Nd5,book,best,1,0.1,0.09,50.3,26,Opening,0,0.1,49.7,0.49700000000000005,0.01
1,8,White,c4,book,best,1,-0.01,0.03,51.2,35,Opening,0,0,51.2,0.512,-0.04
1,8,Black,Qb4+,inaccuracy,good,3,0.47,0.12,56.0,31,Opening,0,0,44.0,0.44,0.35
1,9,White,Nd2,best,best,1,0.49,0.6,56.1,5,Opening,0,0.49,56.1,0.561,-0.11
1,9,Black,Nf4,great,best,1,0.44,0.61,55.7,40,Opening,0,0.44,44.3,0.44299999999999995,-0.17
1,10,White,Qe3,best,best,1,0.48,0.57,55.1,20,Opening,0,0.48,55.1,0.551,-0.09
1,10,Black,Ng6,best,best,2,0.53,0.51,56.0,43,Opening,0,0.42,44.0,0.44,0.02
1,11,White,Bd3,best,best,1,0.65,0.6,55.9,33,Opening,0,0.65,55.9,0.5589999999999999,0.05
1,11,Black,Bc5,good,good,6,0.94,0.59,60.0,37,Opening,0,0.44,40.0,0.4,0.35
1,12,White,Qg3,best,best,1,0.82,1.0,59.4,34,Opening,0,0.82,59.4,0.594,-0.18
1,12,Black,O-O,best,excellent,4,0.9,0.94,60.2,41,Opening,0,0.86,39.8,0.39799999999999996,-0.04
1,13,White,O-O,best,best,1,1.02,1.02,60.6,30,Opening,0,1.02,60.6,0.606,0.0
1,13,Black,d6,mistake,excellent,2,0.98,1.06,59.6,37,Opening,0,0.89,40.4,0.40399999999999997,-0.08
1,14,White,Nb3,great,best,1,1.04,0.96,60.2,29,Opening,0,1.04,60.2,0.602,0.08
1,14,Black,Nxe5,mistake,blunder,10,3.47,1.02,84.7,40,Opening,0,1.19,15.299999999999997,0.15299999999999997,2.45
1,15,White,a3,miss,blunder,3,0.85,3.47,60.4,34,Middlegame,-1,2.71,60.4,0.604,-2.62
1,15,Black,Qb6,best,best,1,1.02,1.04,58.5,42,Middlegame,-1,1.02,41.5,0.415,-0.02
